date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:04:30	80013/80013	---MCZ	200	added ('OK')	text/html	etag:%2241cff8159112792a53342bc49a18e451-ssl-df%22	https://ceramax.netlify.app/dashboard/index-dashboard.html	C:/Users/User/Desktop/creativity/btc%20dashboard/ceramax.netlify.app/dashboard/index-dashboard.html	(from )
16:04:31	1444/1444	---MCZ	404	error ('Not%20Found')	text/html	etag:1622844447-ssl-df	https://ceramax.netlify.app/robots.txt		(from )
16:04:32	568/568	---M--	200	added ('OK')	image/png	etag:%224673b171c8380b7ac7a76585230338f9-ssl%22	https://ceramax.netlify.app/assets/images/favicon.png	C:/Users/User/Desktop/creativity/btc%20dashboard/ceramax.netlify.app/assets/images/favicon.png	(from https://ceramax.netlify.app/dashboard/index-dashboard.html)
16:04:33	2306/2306	---M--	200	added ('OK')	image/png	etag:%22b205575ef8491c169828d0aae72a8dbf-ssl%22	https://ceramax.netlify.app/assets/images/apple-touch-icon-57-precomposed.png	C:/Users/User/Desktop/creativity/btc%20dashboard/ceramax.netlify.app/assets/images/apple-touch-icon-57-precomposed.png	(from https://ceramax.netlify.app/dashboard/index-dashboard.html)
16:04:34	3505/3505	---M--	200	added ('OK')	image/png	etag:%22631f81dc73d66c3a4232f6d3e4aaf591-ssl%22	https://ceramax.netlify.app/assets/images/apple-touch-icon-114-precomposed.png	C:/Users/User/Desktop/creativity/btc%20dashboard/ceramax.netlify.app/assets/images/apple-touch-icon-114-precomposed.png	(from https://ceramax.netlify.app/dashboard/index-dashboard.html)
16:04:35	2903/2903	---M--	200	added ('OK')	image/png	etag:%2238bbcd942e7d520286677186df51eb49-ssl%22	https://ceramax.netlify.app/assets/images/apple-touch-icon-72-precomposed.png	C:/Users/User/Desktop/creativity/btc%20dashboard/ceramax.netlify.app/assets/images/apple-touch-icon-72-precomposed.png	(from https://ceramax.netlify.app/dashboard/index-dashboard.html)
16:04:36	3820/3820	---M--	200	added ('OK')	image/png	etag:%222a7c916548db5fdf52fe954b85fd4f56-ssl%22	https://ceramax.netlify.app/assets/images/apple-touch-icon-144-precomposed.png	C:/Users/User/Desktop/creativity/btc%20dashboard/ceramax.netlify.app/assets/images/apple-touch-icon-144-precomposed.png	(from https://ceramax.netlify.app/dashboard/index-dashboard.html)
16:04:36	2161/2161	---M-Z	200	added ('OK')	text/css	etag:%22c9c46440148810a619fcabfcdd625e80-ssl-df%22	https://ceramax.netlify.app/assets/plugins/pace/pace-theme-flash.css	C:/Users/User/Desktop/creativity/btc%20dashboard/ceramax.netlify.app/assets/plugins/pace/pace-theme-flash.css	(from https://ceramax.netlify.app/dashboard/index-dashboard.html)
16:04:37	121260/121260	---MCZ	200	added ('OK')	text/css	etag:%22c27881edf6742337ebcc196b84b48869-ssl-df%22	https://ceramax.netlify.app/assets/plugins/bootstrap/css/bootstrap.min.css	C:/Users/User/Desktop/creativity/btc%20dashboard/ceramax.netlify.app/assets/plugins/bootstrap/css/bootstrap.min.css	(from https://ceramax.netlify.app/dashboard/index-dashboard.html)
16:04:38	23409/23409	---MCZ	200	added ('OK')	text/css	etag:%22389e9de9d480da7295b9a674415b7776-ssl-df%22	https://ceramax.netlify.app/assets/plugins/bootstrap/css/bootstrap-theme.min.css	C:/Users/User/Desktop/creativity/btc%20dashboard/ceramax.netlify.app/assets/plugins/bootstrap/css/bootstrap-theme.min.css	(from https://ceramax.netlify.app/dashboard/index-dashboard.html)
16:04:39	26575/26575	---MCZ	200	added ('OK')	text/css	etag:%22ff8395587ffcddf742213d147abebbb3-ssl-df%22	https://ceramax.netlify.app/assets/fonts/font-awesome/css/font-awesome.css	C:/Users/User/Desktop/creativity/btc%20dashboard/ceramax.netlify.app/assets/fonts/font-awesome/css/font-awesome.css	(from https://ceramax.netlify.app/dashboard/index-dashboard.html)
16:04:40	12864/12864	---MCZ	200	added ('OK')	text/css	etag:%22105b076eb6c144cf2aa444588d812134-ssl-df%22	https://ceramax.netlify.app/assets/fonts/webfont/cryptocoins.css	C:/Users/User/Desktop/creativity/btc%20dashboard/ceramax.netlify.app/assets/fonts/webfont/cryptocoins.css	(from https://ceramax.netlify.app/dashboard/index-dashboard.html)
16:04:42	53431/53431	---MCZ	200	added ('OK')	text/css	etag:%22df5122df5bab6dfdb9835a3eef490da4-ssl-df%22	https://ceramax.netlify.app/assets/css/animate.min.css	C:/Users/User/Desktop/creativity/btc%20dashboard/ceramax.netlify.app/assets/css/animate.min.css	(from https://ceramax.netlify.app/dashboard/index-dashboard.html)
16:04:43	5026/5026	---MCZ	200	added ('OK')	text/css	etag:%2293cf135ca4ed9c56335d34d6ccc13243-ssl-df%22	https://ceramax.netlify.app/assets/plugins/perfect-scrollbar/perfect-scrollbar.css	C:/Users/User/Desktop/creativity/btc%20dashboard/ceramax.netlify.app/assets/plugins/perfect-scrollbar/perfect-scrollbar.css	(from https://ceramax.netlify.app/dashboard/index-dashboard.html)
16:04:44	6564/6564	---MCZ	200	added ('OK')	text/css	etag:%22caa07e600a0f71cf803b02c4fcd58261-ssl-df%22	https://ceramax.netlify.app/assets/plugins/jvectormap/jquery-jvectormap-2.0.1.css	C:/Users/User/Desktop/creativity/btc%20dashboard/ceramax.netlify.app/assets/plugins/jvectormap/jquery-jvectormap-2.0.1.css	(from https://ceramax.netlify.app/dashboard/index-dashboard.html)
16:04:49	468/468	---M--	200	added ('OK')	text/css	etag:%2265edf3547d799a184cc586d5b03238dc-ssl%22	https://ceramax.netlify.app/assets/plugins/morris-chart/css/morris.css	C:/Users/User/Desktop/creativity/btc%20dashboard/ceramax.netlify.app/assets/plugins/morris-chart/css/morris.css	(from https://ceramax.netlify.app/dashboard/index-dashboard.html)
16:04:50	233342/233342	---MCZ	200	added ('OK')	text/css	etag:%22cf58fa365b452750f6b67420425a22b9-ssl-df%22	https://ceramax.netlify.app/assets/css/style.css	C:/Users/User/Desktop/creativity/btc%20dashboard/ceramax.netlify.app/assets/css/style.css	(from https://ceramax.netlify.app/dashboard/index-dashboard.html)
16:04:52	0/0	---M--	200	added ('OK')	text/css	etag:%220144712dd81be0c3d9724f5e56ce6685-ssl%22	https://ceramax.netlify.app/assets/css/responsive.css	C:/Users/User/Desktop/creativity/btc%20dashboard/ceramax.netlify.app/assets/css/responsive.10.delayed	(from https://ceramax.netlify.app/dashboard/index-dashboard.html)
16:04:53	16631/16631	---M--	200	added ('OK')	image/png	etag:%22972b9bf048b2ceba13f41f4db6b1cc9a-ssl%22	https://ceramax.netlify.app/data/profile/avatar-1.png	C:/Users/User/Desktop/creativity/btc%20dashboard/ceramax.netlify.app/data/profile/avatar-1.png	(from https://ceramax.netlify.app/dashboard/index-dashboard.html)
16:04:53	9674/9674	---M--	200	added ('OK')	image/png	etag:%228fc655f58a5abaa7fe9c53f867cd76dd-ssl%22	https://ceramax.netlify.app/data/profile/avatar-2.png	C:/Users/User/Desktop/creativity/btc%20dashboard/ceramax.netlify.app/data/profile/avatar-2.png	(from https://ceramax.netlify.app/dashboard/index-dashboard.html)
16:04:54	24786/24786	---M--	200	added ('OK')	image/png	etag:%22a7213d139277354817cbe9ee122e8bae-ssl%22	https://ceramax.netlify.app/data/profile/avatar-3.png	C:/Users/User/Desktop/creativity/btc%20dashboard/ceramax.netlify.app/data/profile/avatar-3.png	(from https://ceramax.netlify.app/dashboard/index-dashboard.html)
16:04:55	24482/24482	---M--	200	added ('OK')	image/png	etag:%22c64ee5dfba968ecfdc6444489418e0ae-ssl%22	https://ceramax.netlify.app/data/profile/avatar-4.png	C:/Users/User/Desktop/creativity/btc%20dashboard/ceramax.netlify.app/data/profile/avatar-4.png	(from https://ceramax.netlify.app/dashboard/index-dashboard.html)
16:04:56	20601/20601	---M--	200	added ('OK')	image/png	etag:%226f438bafd2e96828a17cb66e9b38a424-ssl%22	https://ceramax.netlify.app/data/profile/avatar-5.png	C:/Users/User/Desktop/creativity/btc%20dashboard/ceramax.netlify.app/data/profile/avatar-5.png	(from https://ceramax.netlify.app/dashboard/index-dashboard.html)
16:04:57	23839/23839	---M--	200	added ('OK')	image/jpeg	etag:%22ac85a9cf6013ad3ff3d0213d59479564-ssl%22	https://ceramax.netlify.app/data/profile/profile.jpg	C:/Users/User/Desktop/creativity/btc%20dashboard/ceramax.netlify.app/data/profile/profile.jpg	(from https://ceramax.netlify.app/dashboard/index-dashboard.html)
